player,pos_before,pos_after,v_baseline,v_after_stageA,v_final,delta_total,delta_stageA,stageA_your_edit_effect,stageA_rebake_effect,your_edit,stageA_cause,delta_stageB,stageB_levers,rank_before,rank_final,rank_move
Esava Ratugolea,KPD,KPD,117,117,120,3,0,0,0,,,3,played-axis/other,644,645,-1
Cameron Zurhaar,SF,SF,159,159,162,3,0,0,0,,,3,played-axis/other,624,623,1
Jack Higgins,SF,SF,132,132,135,3,0,0,0,,,3,played-axis/other,636,636,0
Oscar Allen,KPF,KPF,158,158,161,3,0,0,0,,,3,played-axis/other,625,625,0
Jackson Macrae,MID,MID,140,140,143,3,0,0,0,,,3,played-axis/other,633,633,0
Michael Frederick,SF,SF,111,111,114,3,0,0,0,,,3,played-axis/other,651,652,-1
Lachlan Bramble,SF,SF,94,94,97,3,0,0,0,,,3,played-axis/other,670,669,1
Harry Perryman,SD,SD,120,120,123,3,0,0,0,,,3,played-axis/other,641,641,0
Tom Barrass,KPD,KPD,113,113,116,3,0,0,0,,,3,played-axis/other,650,650,0
Ollie Lord,KPF,KPF,151,151,154,3,0,0,0,,,3,played-axis/other,630,630,0
Riley Garcia,SF,SF,113,113,116,3,0,0,0,,,3,played-axis/other,648,649,-1
Brandon Zerk-Thatcher,KPD,KPD,86,86,89,3,0,0,0,,,3,played-axis/other,682,685,-3
Jamie Cripps,SF,SF,36,38,39,3,2,0,2,,stage-A v0surf re-bake,1,curve+pool,753,748,5
James Leake,SD,SF,544,525,546,2,-19,-19,0,,the 62 edits (gfut cohort),21,year0 bar SD→SF,364,370,-6
Joel Fitzgerald,MID,MID,78,78,80,2,0,0,0,,,2,played-axis/other,695,696,-1
Bruce Reville,MID,MID,72,72,74,2,0,0,0,,,2,played-axis/other,701,703,-2
Harry Rowston,MID,MID,642,630,644,2,-12,-12,0,,the 62 edits (gfut cohort),14,played-axis/other,323,331,-8
Luke Kennedy,MID,MID,523,514,525,2,-9,-9,0,,the 62 edits (gfut cohort),11,played-axis/other,377,378,-1
Ewan Mackinlay,SF,SF,45,46,47,2,1,1,0,,the 62 edits (gfut cohort),1,played-axis/other,732,733,-1
Tom Edwards,KPF,KPF,89,89,91,2,0,0,0,,,2,played-axis/other,678,684,-6
Jack Hutchinson,MID,MID,37,37,39,2,0,0,0,,,2,played-axis/other,749,747,2
Jack Buller,KPF,KPF,91,91,93,2,0,0,0,,,2,played-axis/other,674,676,-2
Wade Derksen,KPD,KPD,84,84,86,2,0,0,0,,,2,played-axis/other,689,690,-1
Charlie Ballard,KPD,KPD,84,84,86,2,0,0,0,,,2,played-axis/other,687,688,-1
Brandon Walker,SD,SD,91,91,93,2,0,0,0,,,2,played-axis/other,673,675,-2
Nick Vlastuin,SD,SD,109,109,111,2,0,0,0,,,2,played-axis/other,655,654,1
Nick Haynes,SD,SD,101,101,103,2,0,0,0,,,2,played-axis/other,662,663,-1
Dougal Howard,KPD,KPD,87,87,89,2,0,0,0,,,2,played-axis/other,681,686,-5
Lachlan Fogarty,SF,SF,71,71,73,2,0,0,0,,,2,played-axis/other,702,704,-2
Todd Marshall,KPF,KPF,113,113,115,2,0,0,0,,,2,played-axis/other,649,651,-2
Elliott Himmelberg,KPF,KPF,89,89,91,2,0,0,0,,,2,played-axis/other,676,682,-6
Harry Morrison,MID,MID,53,53,55,2,0,0,0,,,2,played-axis/other,719,719,0
Caleb Graham,KPD,KPD,70,70,72,2,0,0,0,,,2,played-axis/other,703,705,-2
Matt Guelfi,SF,SF,17,18,19,2,1,1,0,,the 62 edits (gfut cohort),1,played-axis/other,785,781,4
Nicholas Holman,SF,SF,25,27,27,2,2,0,2,,stage-A v0surf re-bake,0,,774,768,6
Daniel Butler,SF,SF,19,21,21,2,2,2,0,,the 62 edits (gfut cohort),0,,781,777,4
Jed Bews,SD,SD,36,33,34,-2,-3,-3,0,,the 62 edits (gfut cohort),1,played-axis/other,754,755,-1
Lachlan Blakiston,KPD,KPD,19,19,20,1,0,0,0,,,1,2026 col-bar row RUCK→col KPD,782,779,3
Cody Angove,MID,SF,562,550,563,1,-12,0,-12,,stage-A v0surf re-bake,13,year0 bar MID→SF; curve+pool,357,362,-5
Charlie West,KPF,KPF,613,598,612,-1,-15,-25,10,,the 62 edits (gfut cohort),14,played-axis/other; curve+pool,332,342,-10
Oscar Berry,KPD,KPD,93,90,92,-1,-3,-3,0,,the 62 edits (gfut cohort),2,played-axis/other,671,679,-8
Xavier Walsh,KPD,KPF,262,257,263,1,-5,-5,0,,the 62 edits (gfut cohort),6,year0 bar KPD→KPF,538,540,-2
Luke Beecken,MID,MID,20,20,21,1,0,0,0,,,1,played-axis/other,779,778,1
Jamarra Ugle-Hagan,KPF,KPF,354,344,353,-1,-10,-10,0,,the 62 edits (gfut cohort),9,played-axis/other,463,464,-1
Paddy Cross,SF,SF,35,36,36,1,1,1,0,,the 62 edits (gfut cohort),0,,756,754,2
Liam Puncher,KPD,KPD,101,99,102,1,-2,-2,0,,the 62 edits (gfut cohort),3,played-axis/other,661,664,-3
Jesse Motlop,SF,SF,109,107,110,1,-2,-2,0,,the 62 edits (gfut cohort),3,played-axis/other,654,656,-2
Flynn Young,SF,SF,10,11,11,1,1,1,0,,the 62 edits (gfut cohort),0,,793,789,4
Jack Henderson,SF,SF,6,6,7,1,0,0,0,,,1,played-axis/other,797,797,0
Liam O'Connell,SD,SD,41,41,42,1,0,0,0,,,1,played-axis/other,742,741,1
Mykelti Lefau,KPF,KPF,37,37,38,1,0,0,0,,,1,played-axis/other,750,752,-2
Arthur Jones,SF,SF,128,126,129,1,-2,-2,0,,the 62 edits (gfut cohort),3,played-axis/other,638,639,-1
Luke Cleary,SD,SD,77,76,78,1,-1,0,-1,,stage-A v0surf re-bake,2,curve+pool,698,698,0
Nicholas Coffield,SD,SD,54,53,55,1,-1,0,-1,,stage-A v0surf re-bake,2,curve+pool,718,721,-3
Andy Moniz-Wakefield,SF,SD,45,44,44,-1,-1,-1,0,present_position: SF→SD,the 62 edits (own row),0,,731,736,-5
Corey Durdin,SF,SF,67,67,68,1,0,0,0,,,1,played-axis/other,706,707,-1
Reef McInnes,KPD,KPD,80,79,81,1,-1,0,-1,,stage-A v0surf re-bake,2,curve+pool,694,695,-1
Jacob Wehr,SD,SD,24,24,25,1,0,0,0,,,1,curve+pool,775,772,3
Lachlan McNeil,SF,SF,25,25,26,1,0,0,0,,,1,played-axis/other,773,771,2
Darcy Fort,RUCK,RUCK,54,54,55,1,0,0,0,,,1,played-axis/other,716,718,-2
Lewis Melican,KPD,KPD,58,58,59,1,0,0,0,,,1,played-axis/other,712,714,-2
Corey Wagner,SD,SD,42,42,43,1,0,0,0,,,1,played-axis/other,738,740,-2
Oscar McDonald,KPD,KPD,43,43,44,1,0,0,0,,,1,played-axis/other,736,738,-2
Jamie Elliott,SF,SF,32,33,33,1,1,0,1,,stage-A v0surf re-bake,0,,762,757,5
Brody Mihocek,KPF,KPF,10,10,11,1,0,0,0,,,1,played-axis/other,791,788,3
Bradley Close,SF,SF,38,38,39,1,0,0,0,,,1,played-axis/other,746,746,0
Sam Switkowski,SF,SF,24,24,25,1,0,0,0,,,1,played-axis/other,777,774,3
Luke McDonald,SD,SD,54,53,55,1,-1,0,-1,,stage-A v0surf re-bake,2,curve+pool,717,720,-3
Lincoln McCarthy,SF,SF,24,24,25,1,0,0,0,,,1,played-axis/other,776,773,3
Aidan Corr,KPD,KPD,51,51,52,1,0,0,0,,,1,curve+pool,722,725,-3
Changkuoth Jiath,SD,SD,30,30,31,1,0,0,0,,,1,played-axis/other,768,765,3
Callum M. Brown,SF,SF,66,66,67,1,0,0,0,,,1,played-axis/other,707,709,-2
Toby Pink,KPD,KPD,16,16,17,1,0,0,0,,,1,played-axis/other,786,784,2
Darcy Gardiner,KPD,KPD,47,47,48,1,0,0,0,,,1,curve+pool,728,730,-2
Bobby Hill,SF,SF,46,46,47,1,0,0,0,,,1,played-axis/other,730,732,-2
Ben Long,SF,SF,32,33,33,1,1,0,1,,stage-A v0surf re-bake,0,,761,756,5
Bailey Scott,MID,MID,30,30,31,1,0,0,0,,,1,curve+pool,767,764,3
Malcolm Rosas,SF,SF,31,31,32,1,0,0,0,,,1,played-axis/other,765,762,3
Noah Answerth,SD,SD,31,31,32,1,0,0,0,,,1,curve+pool,766,763,3
Liam Ryan,SF,SF,30,30,31,1,0,0,0,,,1,curve+pool,769,766,3
Darragh Joyce,KPD,KPD,12,12,13,1,0,0,0,,,1,played-axis/other,787,787,0
Hugo Ralphsmith,MID,MID,44,44,45,1,0,0,0,,,1,played-axis/other,735,735,0
Liam Stocker,SD,SD,42,40,41,-1,-2,0,-2,,stage-A v0surf re-bake,1,curve+pool,739,742,-3
Laitham Vandermeer,SF,SF,32,33,33,1,1,0,1,,stage-A v0surf re-bake,0,,763,759,4
Oskar Baker,MID,SF,32,32,33,1,0,0,0,,,1,year0 bar MID→SF; 2026 col-bar row SD→col SF; curve+pool,764,760,4
Brandon Starcevich,SD,SD,44,42,43,-1,-2,0,-2,,stage-A v0surf re-bake,1,curve+pool,733,739,-6
Dylan Patterson,SD,SD,1137,1112,1137,0,-25,-24,-1,,the 62 edits (gfut cohort),25,,211,225,-14
Lukas Cooke,KPD,KPD,151,147,151,0,-4,-4,0,,the 62 edits (gfut cohort),4,,629,631,-2
Zak Evans,MID,MID,4,4,4,0,0,0,0,,,0,,798,799,-1
Tom Blamires,SD,SD,95,93,95,0,-2,-2,0,,the 62 edits (gfut cohort),2,,669,674,-5
Flynn Perez,SD,SD,10,10,10,0,0,0,0,,,0,,792,791,1
Roan Steele,MID,MID,22,21,22,0,-1,-1,0,,the 62 edits (gfut cohort),1,,778,776,2
Ben Jepson,MID,MID,10,10,10,0,0,0,0,,,0,,790,790,0
Mani Liddy,MID,MID,30,30,30,0,0,0,0,,,0,,770,767,3
Wil Parker,SD,SD,27,27,27,0,0,0,0,,,0,,772,770,2
Saad El-Hawli,SD,SD,19,19,19,0,0,0,0,,,0,,783,782,1
Lachie Sullivan,SF,SF,1,1,1,0,0,0,0,,,0,,803,803,0
Oisin Mullin,SD,SD,10,10,10,0,0,0,0,,,0,,795,794,1
James Blanck,KPD,KPD,36,36,36,0,0,0,0,,,0,,752,753,-1
Conor Stone,SF,SD,87,86,87,0,-1,0,-1,present_position: SF→SD,the 62 edits (own row),1,,680,687,-7
Finlay Macrae,MID,SF,110,107,110,0,-3,0,-3,,stage-A v0surf re-bake,3,year0 bar MID→SF,653,655,-2
Rhyan Mansell,SF,SF,86,86,86,0,0,0,0,,,0,,686,689,-3
Jordan Boyd,SD,SD,7,7,7,0,0,0,0,,,0,,796,798,-2
Lachlan Weller,MID,MID,81,79,81,0,-2,0,-2,,stage-A v0surf re-bake,2,,691,694,-3
Joel Amartey,KPF,KPF,57,55,57,0,-2,-2,0,,the 62 edits (gfut cohort),2,,714,716,-2
Hunter Clark,SD,MID,57,56,57,0,-1,0,-1,,stage-A v0surf re-bake,1,year0 bar SD→MID,713,715,-2
Jordon Butts,KPD,KPD,17,17,17,0,0,0,0,,,0,,784,783,1
Mark O'Connor,SD,SD,20,20,20,0,0,0,0,,,0,2026 col-bar row MID→col SD,780,780,0
Jaeger O'Meara,MID,MID,196,191,196,0,-5,0,-5,,stage-A v0surf re-bake,5,,586,601,-15
Ben McKay,KPD,KPD,48,48,48,0,0,0,0,,,0,,724,728,-4
Rhys Stanley,RUCK,RUCK,40,40,40,0,0,0,0,,,0,,743,744,-1
Nathan Broad,SD,SD,10,10,10,0,0,0,0,,,0,,794,793,1
Ryan Gardner,KPD,KPD,33,33,33,0,0,0,0,,,0,,759,761,-2
Jake Kolodjashnij,KPD,KPD,38,37,38,0,-1,0,-1,,stage-A v0surf re-bake,1,,747,751,-4
Alex Pearce,KPD,KPD,39,39,39,0,0,0,0,,,0,,744,745,-1
Harry Schoenberg,MID,SF,56,55,56,0,-1,0,-1,,stage-A v0surf re-bake,1,year0 bar MID→SF; 2026 col-bar row MID→col SF,715,717,-2
Jeremy Sharp,MID,MID,77,76,77,0,-1,-1,0,,the 62 edits (gfut cohort),1,,697,699,-2
Matt Owies,SF,SF,1,1,1,0,0,0,0,,,0,,804,804,0
Mason Cox,KPF,KPF,2,2,2,0,0,0,0,,,0,,801,801,0
Harry Cunningham,SD,SD,1,1,1,0,0,0,0,,,0,,802,802,0
